company_name_normalized;nb_occ
PREFECTURE DE LA SAONE ET LOIRE TR;25
TOURE;24
PREFECTURE DE LA SAVOIE ETRANGERS TR;24
BAH;24
METROPOLE AIX MARSEILLE PROVENCE;23
AEROPORTS DE PARIS;23
PREFECTURE DE L'AUDE;23
BARRY;23
DIRECTION REGIONALE DES FINANCES PUBLIQUES;23
PREFECTURE DE L'INDRE;23
COMMUNE DE MARSEILLE;22
MINISTERE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L'INNOVATION;22
TRAORE;22
PREFECTURE DE LA GUYANE;22
PREFECTURE DE L'HERAULT;22
PREFECTURE DU CALVADOS;22
MINISTRE DE LA COHESION DES TERRITOIRES;21
PREFECTURE DE MAYOTTE ETRANGER;21
PREFECTURE DES VOSGES;21
COULIBALY;21
MINISTERE DE L'INTERIEUR DLPAJ S/D CJC BUREAU CPA;20
PREFECTURE DES PYRENEES ATLANTIQUES;20
LA POSTE DIRECTION JURIDIQUE ET DE LA CONFORMITE DU GROUPE;20
PREFECTURE DU FINISTERE;20
ALI;20
MINISTERE DES SPORTS;20
PREFECTURE DE LA CHARENTE MARITIME;20
COMMISSION NATIONALE DE L'INFORMATIQUE ET DES LIBERTES;20
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS (DGFIP);19
OFFICE NATIONAL D'INDEMNISATION DES ACCIDENTS MEDICAUX DES AFFECTIONS IATROGENES;19
PREFECTURE DES ALPES MARITIMES;19
PREFECTURE DU GERS;19
FONDATION JEROME LEJEUNE;19
COMMUNE DE CANNES;19
AGENCE DE LA BIOMEDECINE;19
MINISTERE DE L'ECONOMIE ET DES FINANCES COMMISSION NATIONALE;19
PREFECTURE DES DEUX SEVRES;19
PREFECTURE DE L'ARIEGE;19
ETABLISSEMENT FRANCAIS DU SANG;18
CONSEIL DEPARTEMENTAL DE SEINE ST DENIS;18
PREFECTURE D'INDRE ET LOIRE;18
GASHI;18
CONSEIL NATIONAL DES ACTIVITES PRIVEES DE SECURITE;17
PREFET DE POLICE;17
MINISTRE DE L'ACTION ET DES COMPTES PUBLICS;17
SYLLA;17
HADDAD;17
PALUT;17
BANGOURA;17
ADAM;17
CONSEIL NATIONAL DES BARREAUX;17
SOCIETE LINPAC PACKAGING PROVENCE SAS;17
PREFECTURE DE L'AIN TR;17
GARCIA;17
MARTINEZ;17
BERNARD;16
OFFICE NATIONAL DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE;16
THOMAS;16
MONTPELLIER MEDITERRANEE METROPOLE;16
MARRIOTT REWARDS LLC;16
BORDEAUX METROPOLE;16
PREFECTURE DU TARN ET GARONNE;16
CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;16
HAMEL;16
MOHAMED;16
PREFECTURE DU LOT ET GARONNE;16
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS DIRCOFI IDF EST;15
PREFECTURE DE LA REGION PROVENCE, ALPES, COTE D'AZUR ET DES BOUCHES DU RHONE;15
PREFECTURE DE LA CORREZE;15
SHAQIRI;15
BACHOURIAN;15
SOCIETE RECYLEX;15
VALETTE;15
COMMUNE DE TOULON;15
DEPARTEMENT DU VAL DE MARNE;15
ANDRE;14
SOCIETE LEROY MERLIN FRANCE;14
AHMED;14
ELECTRICITE DE FRANCE;14
PORT AUTONOME DE PARIS;14
HASSAN;14
AGENCE DE SERVICES ET DE PAIEMENT;14
PREFECTURE DE L'ARDECHE ETRANGERS TR;14
MINISTERE DE L'ECONOMIE ET DES FINANCES DVNI DIVISION DU CONTENTIEUX;14
MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES;14
PREFECTURE DU VAR;14
OFFICE NATIONAL DES FORETS;14
CIE;13
KHAN;13
KEITA;13
SOCIETE HOSPITALIERE D'ASSURANCES MUTUELLES;13
VILLE DE GRENOBLE;13
COMMUNE DE MONTPELLIER;13
BENOIT;13
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS DIRECTION DES IMPOTS DES NON RESIDENTS;13
PETROSYAN;13
PREFECTURE DU JURA;13
HOSPICES CIVILS DE LYON;13
SINGH;13
MINISTERE DE L'AMENAGEMENT DU TERRITOIRE, DE LA RURALITE ET DES COLLECTIVITES TERRITORIALES;13
PREFECTURE DES LANDES;13
CONSEIL REGIONAL D'AUVERGNE RHONE ALPES;13
DIOP;13
MINISTERE DE L'ECOLOGIE, DU DEVELOPPEMENT DURABLE ET DE L'ENERGIE;13
PETIT;12
FLEURY;12
PREFECTURE DU PAS DE CALAIS;12
KONE;12
MINISTRE DE L'ECONOMIE ET DES FINANCES;12
AGENCE NATIONALE DE L'HABITAT;12
MINISTERE DE LA CULTURE ET DE LA COMMUNICATION;12
REGIE AUTONOME DES TRANSPORTS PARISIENS;12
CONDE;12
DIRECTION REGIONALE DES FINANCES PUBLIQUES AQUITAINE ET GIRONDE;12
PREFECTURE DU TERRITOIRE DE BELFORT;12
REYNAERTS;12
CENTRE HOSPITALIER UNIVERSITAIRE DE GRENOBLE;12
DEPARTEMENT DE PARIS;12
PREFECTURE DE LA CHARENTE;12
LELEU;12
CONSEIL SUPERIEUR DE L'AUDIOVISUEL;12
COMMUNE D'ARLES;11
COMMUNE DE TOULOUSE;11
PREFECTURE DES ARDENNES;11
SAFI;11
SOCIETE CSF;11
SECRETARIAT GENERAL DU GOUVERNEMENT;11
JEANNE;11
BA;11
PREFECTURE DE LA REGION PROVENCE,ALPES, COTE D'AZUR ET DES BOUCHES DU RHONE;11
MINISTERE DES FINANCES ET DES COMPTES PUBLICS DVNI DIVISION DU CONTENTIEUX;11
DEPARTEMENT DE LA GUADELOUPE;11
COMMUNE DE SUCY EN BRIE;11
CENTRE HOSPITALIER UNIVERSITAIRE DE MARTINIQUE;11
SANCHEZ;11
MINISTRE DE L'ECOLOGIE, DU DEVELOPPEMENT DURABLE ET DE L'ENERGIE;11
SOW;11
CORRE;11
CASIMIRO;11
CENTRE HOSPITALIER INTERCOMMUNAL DE TOULON LA SEYNE SUR MER;11
GOMIS;11
SARL ZARA FRANCE;11
PEREZ;11
ROUX;11
BOUDJELAL;11
CENTRE HOSPITALIER GUILLAUME REGNIER;11
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE;11
VILLENEUVE;10
