known_companies;known_companies_len
NEWMARKET;9
CENTS ONLY STORES;17
PCM;3
FEDERATED MUTUAL INSURANCE;26
HNI;3
HOSPITALITY PROPERTIES TRUST;28
GREENBRIER;10
BIO RAD LABORATORIES;20
AVALONBAY COMMUNITIES;21
RENEWABLE ENERGY GROUP;22
ATLAS AIR WORLDWIDE HOLDINGS;28
TERADATA;8
LCI INDUSTRIES;14
TELEFLEX;8
VERISK ANALYTICS;16
POPULAR;7
WORKDAY;7
TERADYNE;8
WERNER ENTERPRISES;18
OAKTREE CAPITAL GROUP;21
WOODWARD;8
VALVOLINE;9
ROADRUNNER TRANSPORTATION SYSTEMS;33
SEMGROUP;8
CATALENT;8
QUORUM HEALTH;13
UNIVERSAL;9
NORDSON;7
RESMED;6
TOWER INTERNATIONAL;19
FRED'S;6
KENNAMETAL;10
AUTODESK;8
PLY GEM HOLDINGS;16
CENTRAL GARDEN & PET;20
MATSON;6
ECHOSTAR;8
GENESIS ENERGY;14
SVB FINANCIAL GROUP;19
ITRON;5
PORTLAND GENERAL ELECTRIC;25
CALIFORNIA RESOURCES;20
ESTERLINE TECHNOLOGIES;22
DELTA TUCKER HOLDINGS;21
AMN HEALTHCARE SERVICES;23
GRIFFON;7
VALHI;5
HEXCEL;6
IDEXX LABORATORIES;18
DELUXE;6
KRATON;6
STEWART INFORMATION SERVICES;28
MARRIOTT VACATIONS WORLDWIDE;28
SPX FLOW;8
ACCO BRANDS;11
ECHO GLOBAL LOGISTICS;21
CADENCE DESIGN SYSTEMS;22
NUANCE COMMUNICATIONS;21
FINISH LINE;11
TRANSUNION;10
SERVICENOW;10
SUMMIT MATERIALS;16
ENGILITY HOLDINGS;17
FERRELLGAS PARTNERS;19
INTERACTIVE BROKERS GROUP;25
STEPAN;6
OCEANEERING INTERNATIONAL;25
CIMAREX ENERGY;14
REXNORD;7
MKS INSTRUMENTS;15
VAIL RESORTS;12
OHIO NATIONAL MUTUAL;20
TOPBUILD;8
BROWN & BROWN;13
AEROJET ROCKETDYNE HOLDINGS;27
BARNES & NOBLE EDUCATION;24
SUPERIOR ENERGY SERVICES;24
VERIFONE SYSTEMS;16
CHILDREN'S PLACE;16
TRIBUNE MEDIA;13
SITEONE LANDSCAPE SUPPLY;24
CHARLES RIVER LABORATORIES INTL;31
CORELOGIC;9
ENSIGN GROUP;12
HCP;3
