known_companies;known_companies_len
QUANTIC DREAM;13
REXEL;5
RHONE POULENC;13
SAFRAN;6
SAGEM;5
SALOMON GROUP;13
SCHNEIDER ELECTRIC;18
SDV INTERNATIONAL LOGISTICS;27
SEPHORA;7
SIGFOX;6
SNECMA;6
SOCIETE BIC;11
SOGETI;6
TECHNICOLOR;11
TECHNIP;7
THALES;6
THEAM;5
THOMSON;7
UBISOFT;7
VEOLIA;6
VINCI;5
VIVENDI;7
WATERMAN;8
WALMART;7
EXXON MOBIL;11
BERKSHIRE HATHAWAY;18
A.G.F.;6
UNITEDHEALTH;12
MCKESSON;8
CVS HEALTH;10
AMAZON;6
AT&T;4
GENERAL MOTORS;14
AMERISOURCEBERGEN;17
CHEVRON;7
CARDINAL HEALTH;15
COSTCO;6
VERIZON;7
KROGER;6
GENERAL ELECTRIC;16
WALGREENS BOOTS ALLIANCE;24
JPMORGAN;8
FANNIE MAE;10
ALPHABET;8
HOME DEPOT;10
BANK OF AMERICA;15
EXPRESS SCRIPTS;15
WELLS FARGO;11
BOEING;6
PHILLIPS;8
ANTHEM;6
VALERO ENERGY;13
CITIGROUP;9
COMCAST;7
DELL;4
STATE FARM INSURANCE;20
JOHNSON & JOHNSON;17
FREDDIE MAC;11
TARGET;6
LOWE'S;6
MARATHON PETROLEUM;18
PROCTER;7
GAMBLE;6
METLIFE;7
UPS;3
PEPSICO;7
INTEL;5
DOWDUPONT;9
ARCHER DANIELS MIDLAND;22
AETNA;5
FEDEX;5
UNITED TECHNOLOGIES;19
PRUDENTIAL FINANCIAL;20
ALBERTSONS;10
SYSCO;5
DISNEY;6
HUMANA;6
PFIZER;6
HP;2
LOCKHEED MARTIN;15
CENTENE;7
CISCO;5
HCA HEALTHCARE;14
ENERGY TRANSFER EQUITY;22
NATIONWIDE;10
MORGAN STANLEY;14
LIBERTY MUTUAL;14
NEW YORK LIFE INSURANCE;23
GOLDMAN SACHS;13
AMERICAN AIRLINES;17
BEST BUY;8
CIGNA;5
CHARTER COMMUNICATIONS;22
DELTA AIR LINES;15
FACEBOOK;8
HONEYWELL;9
MERCK;5
ALLSTATE;8
TYSON FOODS;11
UNITED CONTINENTAL HOLDINGS;27
ORACLE;6
TECH DATA;9
TIAA;4
TJX;3
AMERICAN EXPRESS;16
COCA COLA;9
PUBLIX SUPER MARKETS;20
NIKE;4
ANDEAVOR;8
WORLD FUEL SERVICES;19
EXELON;6
MASSACHUSETTS MUTUAL LIFE INSURANCE;35
RITE AID;8
CONOCOPHILLIPS;14
CHS;3
TIME WARNER;11
GENERAL DYNAMICS;16
USAA;4
CAPITAL ONE FINANCIAL;21
DEERE;5
INTL FCSTONE;12
NORTHWESTERN MUTUAL;19
ENTERPRISE PRODUCTS PARTNERS;28
TRAVELERS;9
HEWLETT PACKARD;15
PHILIP MORRIS;13
TWENTY FIRST CENTURY;20
ABBVIE;6
ABBOTT LABORATORIES;19
PROGRESSIVE;11
ARROW ELECTRONICS;17
KRAFT HEINZ;11
PLAINS GP;9
GILEAD SCIENCES;15
MONDELEZ;8
NORTHROP GRUMMAN;16
RAYTHEON;8
MACY'S;6
DOLLAR GENERAL;14
INTERNATIONAL PAPER;19
DUKE ENERGY;11
SOUTHERN;8
MARRIOTT;8
AVNET;5
ELI LILLY;9
AMGEN;5
MCDONALD;8
STARBUCKS;9
QUALCOMM;8
DOLLAR TREE;11
PBF ENERGY;10
ICAHN;5
AFLAC;5
AUTONATION;10
PENSKE AUTOMOTIVE;17
WHIRLPOOL;9
UNION PACIFIC;13
SOUTHWEST AIRLINES;18
THERMO FISHER SCIENTIFIC;24
BRISTOL MYERS SQUIBB;20
HALLIBURTON;11
TENET HEALTHCARE;16
LEAR;4
CUMMINS;7
MICRON TECHNOLOGY;17
NUCOR;5
MOLINA HEALTHCARE;17
FLUOR;5
ALTRIA;6
PACCAR;6
HARTFORD;8
KOHL'S;6
WESTERN DIGITAL;15
JABIL;5
COMMUNITY HEALTH SYSTEMS;24
VISA;4
DANAHER;7
KIMBERLY CLARK;14
AECOM;5
PNC FINANCIAL SERVICES;22
CENTURYLINK;11
NEXTERA ENERGY;14
PG&E;4
SYNNEX;6
WELLCARE HEALTH PLANS;21
PERFORMANCE FOOD;16
SEARS;5
SYNCHRONY;9
CARMAX;6
BANK OF NEW YORK MELLON;23
FREEPORT MCMORAN;16
GENUINE PARTS;13
EMERSON ELECTRIC;16
DAVITA;6
SUPERVALU;9
GAP;3
GENERAL MILLS;13
NORDSTROM;9
COLGATE;7
XPO;3
GOODYEAR;8
OMNICOM;7
CDW;3
SHERWIN WILLIAMS;16
PPG INDUSTRIES;14
TEXAS INSTRUMENTS;17
ROBINSON WORLDWIDE;18
WESTROCK;8
COGNIZANT TECHNOLOGY SOLUTIONS;30
NEWELL BRANDS;13
CBS;3
ENVISION HEALTHCARE;19
MONSANTO;8
ARAMARK;7
APPLIED MATERIALS;17
WASTE MANAGEMENT;16
DISH NETWORK;12
ILLINOIS TOOL WORKS;19
LINCOLN NATIONAL;16
HOLLYFRONTIER;13
CBRE;4
TEXTRON;7
ROSS STORES;11
PRINCIPAL FINANCIAL;19
HORTON;6
MARSH & MCLENNAN;16
DEVON ENERGY;12
AES;3
ECOLAB;6
LAND O'LAKES;12
LOEWS;5
KINDER MORGAN;13
FIRSTENERGY;11
OCCIDENTAL PETROLEUM;20
VIACOM;6
PAYPAL HOLDINGS;15
NGL ENERGY PARTNERS;19
CELGENE;7
ARCONIC;7
KELLOGG;7
LAS VEGAS SANDS;15
STANLEY BLACK & DECKER;22
BOOKING HOLDINGS;16
LENNAR;6
DTE ENERGY;10
DOMINION ENERGY;15
REINSURANCE GROUP OF AMERICA;28
MASTERCARD;10
BLACKROCK;9
HENRY SCHEIN;12
GUARDIAN LIFE INS. CO. OF AMERICA;33
STRYKER;7
JEFFERIES FINANCIAL GROUP;25
